rank,score,record_id,patent_id,domain,title,abstract,candidate_type,source
11,0.9,52080734,52080734,hydrogen-storage-technology-ablnocorp,Rare earth-magnesium-nickel system heterogeneous hydrogen storage alloys used for nickel-hydrogen batteries and preparing method thereof,"The invention discloses rare earth-magnesium-nickel system heterogeneous hydrogen storage alloys used for nickel-hydrogen batteries and a preparing method thereof. The alloys are characterized in that: the general structure formula of the alloys is Ln&lt;a&gt;Mg&lt;b&gt;Ni&lt;x&gt;Y&lt;y&gt;Z&lt;z&gt;, wherein the Ln is at least one element selected from rare earth elements; the Y is at least one element selected from a group comprising Co, Mn, Al, Cu, Nb, V, Fe, Zn, Ti, Cr, As, Ga, Mo, Sn, In, W, Si, B and P; the Z is at least one element selected from a group comprising Ag, Sr, Ge and Au; the a is less than 1 and not less than 0.5; the b is less than 0.5 and more than 0; the x is more than 2.5 and less than 4.5; the y is more than 0 and less than 2; the z is more than 0 and not more than 1; an AB5 phase accounts for 10-90%; an A2B7 phase accounts for 10-90%; and the ratio of other impurity phases is not more than 30%. B side elements are replaced by the Ag, the Sr, the Ge, the Au, and the like, alloy components and an annealing process are optimized, and the ratio of the AB5 phase to the A2B7 phase in the product is adjusted, thus increasing the discharge capacity of the hydrogen storage alloy, prolonging the cycle lifetime of the hydrogen storage alloy, and improving self-discharge and low-temperature properties.",positive,in_domain
12,0.9,11555109,11555109,hydrogen-storage-technology-ablnocorp,Hydrogen storage alloy excellent in initial activity,"PROBLEM TO BE SOLVED: To provide a hydrogen storage alloy having high hydrogen absorbing and releasing velocities, excellent in practical use, and having a superior initial activity. SOLUTION: This hydrogen storage alloy has a composition containing, by atom, 19-30% Ti, 0.5-10% Zr, 0.02-0.4% Hf, 30-42% Mn, 4-13% Cr, 7-17% V, 2-9% Ni, 0.1-3.5% La and/or Ce, and 1-10% oxygen and satisfying Ti(%)+Zr(%)+Hf(%)+Mn(%)+Cr(%)+V(%)+Ni(%)+(La and/or Ce) (%) + oxygen (%)+(inevitable impurities) (%)=100%. Moreover, this hydrogen storage alloy has a structure where hydrogenation and oxidation treatment product phases are dispersedly distributed in matrix phases of Ti-Mn alloy and the hydrogenation and oxidation treatment product phases are constituted essentially of oxides of La(Ce) and La(Ce)-Ni alloy and further has a structure where numerous cracks developing at the time of hydrogenation treatment are present and the hydrogenation and oxidation treatment product phases are exposed in the inner surface of the cracks.",positive,in_domain
13,0.9,26474798,26474798,hydrogen-storage-technology-ablnocorp,Hydrogen storage alloy electrode and sealed nickel hydrogen storage battery using this electrode,"(57) [Abstract] [PROBLEMS] To provide a hydrogen storage alloy electrode having a large discharge capacity, an excellent charge-discharge cycle life, and an excessive increase in the battery internal pressure during rapid charging. A mixture containing a hydrogen storage alloy powder, a styrene-butadiene copolymer in which the weight ratio of styrene and butadiene is 100: 30 to 100, a polymer substance that imparts hydrophilicity to the electrode, and carbon black. A hydrogen storage alloy electrode comprising a punching metal of a conductive support that supports the mixture, and a water repellent that imparts water repellency to the electrode surface. Punching metal is perforated in a perforation pattern in which the apex angle of a triangle formed by connecting the centers of three adjacent holes is an isosceles triangle smaller than both base angles, and at least one pair of relative holes is formed at the end of the perforation part. It has a plain part facing.",positive,in_domain
14,0.85,33468496,33468496,hydrogen-storage-technology-ablnocorp,Storage tank and gaseous hydrogen producing apparatus,"An object of the present invention is to provide a storage tank capable of increasing the pure concentration of a cyclic hydrocarbon as a stored substance, and a hydrogen gas generating device having high use efficiency of a cyclic hydrocarbon and excellent reaction efficiency on a catalyst.   A storage tank (20) having a radiator (30) for storing decalin and naphthalene and cooling and coagulating naphthalene by a cooling pipe (42), and decalin supplied from the storage tank (20) is dehydrated on a heated catalyst. And a reaction tank 10 that performs an elementary reaction to generate hydrogen gas and naphthalene.   [Selection diagram] Fig. 1",positive,in_domain
15,0.85,16453738,16453738,hydrogen-storage-technology-ablnocorp,Alkaline storage battery and manufacture of hydrogen storage alloy electrode for alkaline storage battery,"PURPOSE:To improve the cycle characteristic by using a hydrogen storage alloy as a negative electrode, said hydrogen storage alloy consisting of an intermetallic compound phase capable of occluding and releasing hydrogen reversibly and a pure metal phase or solid solution phase of a particular additive metal. CONSTITUTION:A hydrogen storage alloy, consisting of an intermetallic compound phase capable of occluding and releasing hydrogen reversibly and a pure metal phase or solid solution phase of at least one additive metal selected from among Cd, Sn, Bi, Pb which can be oxidized and reduced in an alkaline aqueous solution, is used as a negative electrode. In this case, the additive metal is oxidized or reduced in the alkaline aqueous solution and achieves bridging effect to bind the hydrogen storage alloy powder together and suppresses the falling-off of the alloy powder from the electrode supporter. The casted alloy has a eutectic structure and is a good electric conductor having a layer structure whose layers are arranged with a spacing of several microns. Thus, by using such a homogeneous hydrogen storage alloy as the negative electrode, the cycle characteristic of an alkaline storage battery can be improved.",positive,in_domain
16,0.85,27327556,27327556,hydrogen-storage-technology-ablnocorp,Method for producing hydrogen storage alloy particles and sealed-type nickel-metal hydride storage battery using the same,"A method for manufacturing hydrogen storage alloy particles comprises steps of obtaining a melt of the hydrogen storage alloy and pulverizing the hydrogen storage alloy by water atomizing process, whereby the melt is pulverized by contacting or colliding with high-speed jetting thereto to be dispersed in the form of solidified fine particles. By employing an aqueous solution of hypophosphorous acid or an alkali aqueous solution in place of water during the water atomizing process, or by etching the oxide films once formed on the surface of the hydrogen storage alloy particles with an aqueous solution of a strong acid, the thickness of the oxide film can be made thinner, and thus a high discharge capacity of a battery configured with a negative electrode comprising the alloy particles can be realized.",positive,in_domain
17,0.85,72929542,72929542,hydrogen-storage-technology-ablnocorp,Vehicle-mounted hydrogen supply system frame for hydrogen fuel logistics vehicle,"The utility model belongs to the technical field of the fuel cell car technique and specifically relates to a hydrogen fuel logistics vehicle carries hydrogen supply system frame. The hydrogen supply system comprises a frame main body, wherein the lower part of the frame main body is a power assembly installation space, the upper part of the frame main body is a hydrogen supply system installation space, and the hydrogen supply system installation space is integrally distributed in an L shape. The utility model has light weight, can greatly reduce the total weight of the vehicle-mounted hydrogen supply system, and meanwhile, the installation space of the hydrogen supply system is integrally distributed in an L shape, thus reducing the space required by the vehicle-mounted hydrogen supply system and effectively reducing the gravity center of the vehicle-mounted hydrogen supply system; in addition, simultaneously, the top of frame main part reserves on-vehicle hydrogen storage bottle installation position, if the continuation of journey of the longer mileage of whole car demand, installs the 4 th on-vehicle hydrogen storage bottle additional at the on-vehicle hydrogen storage bottle installation position at top, reaches four bottles and organizes hydrogen system hydrogen supply ability to effectively increase hydrogen fuel storage capacity, improve the continuation of journey mileage.",positive,in_domain
18,0.85,27238353,27238353,hydrogen-storage-technology-ablnocorp,Method and apparatus for the purification of hydrogen,"Hydrogen gas from an generator (1) is occluded in a hydrogen
recovery container (20), thereafter, in the initial stage during
which hydrogen gas is released from the hydrogen recovery container
(20), initially purged hydrogen gas containing much amount of impure
gas is introduced from the hydrogen recovery container (20) to a gas
tank (2) and saved therein, then, hydrogen gas having high purity
released from a hydrogen absorbing alloy in the hydrogen recovery
container (20) is refluxed to the generator (1), and this process
comprising absorbing and releasing of hydrogen gas in the hydrogen
recovery container (20) and saving in the gas tank (2) is repeated
once or several times, successively, the hydrogen gas containing much
amount of impure gas saved in the gas tank (2) is introduced in the
hydrogen recovery container (20) and occluded therein, thereafter,
in the initial stage during which hydrogen gas is released from the
hydrogen recovery container (20), the hydrogen gas containing much
amount of impure gas is discharged outside, then hydrogen gas having
high purity released from the hydrogen absorbing alloy in the
hydrogen recovery container (20) is refluxed to the generator (1).",positive,in_domain
19,0.85,34824243,34824243,hydrogen-storage-technology-ablnocorp,"Hydrogen storage alloy for alkaline storage battery, alkali storage battery, and method for manufacturing alkali storage battery","&lt;P&gt;PROBLEM TO BE SOLVED: To to provide an alkali storage battery using, as a negative electrode, a hydrogen storage alloy containing rare-earth elements, Mg, Ni and Al, wherein the deterioration of the hydrogen storage alloy due to charge/discharge is suppressed so as to improve the cycle life of the alkali storage battery.  &lt;P&gt;SOLUTION: The alkali storage battery has a positive electrode 1, the negative electrode 2 and an alkaline electrolytic solution. For the negative electrode, hydrogen storage alloy powder which contains at least rare-earth elements, Mg, Ni and Al and in which an intensity ratio( I&lt;SB&gt;A&lt;/SB&gt;/I&lt;SB&gt;B&lt;/SB&gt;) of the strongest peak intensity I&lt;SB&gt;A&lt;/SB&gt;appearing within a range of 2θ=31 to 33° to the strongest peak intensity I&lt;SB&gt;B&lt;/SB&gt;appearing within a range of 2θ=40 to 44° in an X-ray diffraction measurement using a Cu-Kα ray, is ≥0.1. Further, in the state where the alkali storage battery is activated, Mg concentration M1 within the range of 30 nm from the surface of the hydrogen storage alloy powder and Mg concentration M2 in the inner part of the hydrogen storage alloy where oxygen concentration becomes &lt;10wt.% satisfy the condition of M1/M2≤0.18.  &lt;P&gt;COPYRIGHT: (C)2005,JPO&amp;NCIPI",positive,in_domain
20,0.85,37268034,37268034,hydrogen-storage-technology-ablnocorp,Hydrogen generating fuel container,"The present invention relates to a hydrogen generating fuel storage tank. It has an upper chamber and a lower chamber partitioned up and down by a movable partition, the lower chamber has a fuel supply port for introducing external hydrogen generating fuel into the lower chamber, and the introduced hydrogen generating fuel to the outside of the lower chamber. A tank body having a fuel discharge port for discharging, the upper chamber including a waste fuel inlet for introducing external waste fuel into the upper chamber, and a waste fuel outlet for discharging the introduced waste fuel from the upper chamber to the outside; It characterized in that it comprises a level detector for sensing the amount of hydrogen-producing fuel contained in the lower chamber of the tank body and outputs the information. 
     Hydrogen fuel storage tank of the present invention made as described above, the partition is installed in the storage tank according to the amount of hydrogen-producing fuel which is a hydrogen-containing compound that generates hydrogen gas through a chemical reaction and the partition wall outside the storage tank By installing a level detector that detects and outputs the position of the fuel cell, it is possible to always check the amount of hydrogen-generated fuel in the storage tank, and by forming a discharge volume of a predetermined volume to accommodate the hydrogen-generated fuel at the bottom of the storage tank. Even if there is no supply of hydrogen-generated fuel in the state where the partition is located at the lowest point, the fuel is configured to be able to supply some fuel, so that fuel supply is not interrupted during continuous operation.",positive,in_domain
21,0.85,36964106,36964106,hydrogen-storage-technology-ablnocorp,"Hydrogen-generating device, and power-generating system for generating electricity by using hydrogen generated in the hydrogen-generating device as fuel","&lt;P&gt;PROBLEM TO BE SOLVED: To provide a device for generating hydrogen in a system using an internal combustion engine, and to further provide a system for generating electricity with the use of the generated hydrogen to prevent a secondary battery from decreasing the discharging capacity.  &lt;P&gt;SOLUTION: A hydrogen-generating device 7 comprises a proton-conductive solid electrolyte 75 having a pair of electrodes 76 and 77, and a voltage application means 2 and 17 for applying direct voltage to a pair of the electrodes. The power-generating system comprises the steps of: contacting one electrode 76 out of a pair of the electrodes in the hydrogen-generating device 7 with a gas exhausted from an internal combustion engine 1, in a state of having applied direct voltage to a pair of the electrodes to electrolyze moisture contained in the exhaust gas; thereby generating hydrogen from the other electrode 77 of a pair of the electrodes, which does not contact with the exhaust gas; storing hydrogen generated from the hydrogen-generating device 7 in a hydrogen storage means 9; and when the internal combustion engine 1 stops working, supplying the hydrogen stored in the hydrogen storage means 9 to a fuel cell 12 to make the fuel cell 12 generate electric energy and supply the electric energy to the secondary battery 2.  &lt;P&gt;COPYRIGHT: (C)2006,JPO&amp;NCIPI",positive,in_domain
22,0.85,14475954,14475954,hydrogen-storage-technology-ablnocorp,Production of hydrogen occlusion alloy,"(57) [Summary] [Structure] When producing a hydrogen storage alloy containing at least 10% by weight or more of Ti and / or Zr and reversibly storing and releasing hydrogen, the composition element raw material is an oxide-based crucible. Is melted in a high frequency induction furnace under an inert gas atmosphere, metal Ca is added and held after melting, and then tapped. [Effect] Deoxidation in the hydrogen storage alloy becomes more remarkable,   It is possible to improve alloy characteristics.",positive,in_domain
23,0.85,27547821,27547821,hydrogen-storage-technology-ablnocorp,Method for heat treating metallic materials and apparatus therefor,The present invention presents a method and an apparatus for heat treating a metallic material by performing hydrogen absorption in or desorption from the metallic material. The method includes the steps of recovering the hydrogen gas released from a desorption step and recycling it to a hydrogen absorbing step. Hydrogen recovering can be performed either in a device containing a hydrogen absorbing alloy or in a second heat treating furnace containing the metallic material. Various controlling devices are used to regulate the process of heat treating and recovering of hydrogen gas.,positive,in_domain
24,0.85,52331865,52331865,hydrogen-storage-technology-ablnocorp,Explosion-proof low-temperature pressure storage tank,"The utility model relates to a kind of explosion-proof Low-temperature pressure storage tank, comprise the withstand voltage tank body of carbon steel, tank body comprises outer tank body and interior tank body, has interlayer, be provided with dry ice in interlayer between outer tank body and interior tank body, effectively can reduce the temperature in storage tank, tank wall is provided with support, tank wall is provided with suction port, tank base is provided with air outlet, tank body top is provided with the operation mouth of pipe, tank wall on be provided with vent.Explosion-proof Low-temperature pressure storage tank of the present utility model adopts double-deck carbon steel pressure-resistance structure, dry ice layer is provided with in interlayer, effectively can reduce the temperature in storage tank, for ensure that the Security of storage tank during the cryogenic gases such as transporting liquid nitrogen, liquid oxygen, liquefied ammonia, liquid hydrogen and LNG Liquefied natural gas, technique is simple, easy construction, structure is reliable.",positive,in_domain
25,0.1,61618373,61618373,hydrogen-storage-technology-ablnocorp,Electrochemical reaction apparatus,"An object of the present invention is to increase the production efficiency of a reduction product.   An electrochemical reaction apparatus includes an electrolytic solution tank including a first housing portion and a second housing portion, a first electrode disposed in the first housing portion, and a second housing. And a power source electrically connected to the first electrode and the second electrode. The first electrode includes a porous conductor having voids. The void penetrates the porous conductor.   [Selection] Figure 1",easy_negative,out_of_domain
26,0.1,71221124,71221124,hydrogen-storage-technology-ablnocorp,Low-temperature plasma device and method for decomposing hydrogen sulfide,"The invention relates to the field of plasma chemistry, and discloses a low-temperature plasma device and a method for decomposing hydrogen sulfide, wherein the device comprises: the structure comprises a first cavity (1), a second cavity (2), a third cavity (7), an inner electrode (3), an outer electrode (4) and a blocking medium (6), wherein the inner electrode (3) and the outer electrode (4) are solid electrodes, and the shapes of the inner electrode and the outer electrode are matched with each other to form an equal-diameter structure. The low-temperature plasma reaction device provided by the invention can realize continuous and stable hydrogen sulfide decomposition process under obviously higher hydrogen sulfide conversion rate, and can realize long-period operation.",easy_negative,out_of_domain
27,0.1,55229992,55229992,hydrogen-storage-technology-ablnocorp,Game machine,"In a gaming machine, while a loop video is being displayed, a game ball is received at a start winning opening (start port), and the number of effects that are executed according to the background of the loop video is increased. The purpose is to provide a gaming machine that does not get bored.   In a gaming machine, it is possible to perform an effect by linking a scene displayed in a loop video and a scene displayed during a display effect, so that an unprecedented presentation mode can be given to a player. This makes it possible to improve the interest of the game.   [Selection] Figure 211",easy_negative,out_of_domain
28,0.1,53830832,53830832,hydrogen-storage-technology-ablnocorp,Cooling tower,"The utility model relates to a kind of recirculated cooling water cooling tower, belong to cooling tower technical field, this cooling tower comprises tower body, in tower body, top, upper end is provided with air outlet and hangs and is provided with fan, spray equipment and packing layer is provided with below fan, the centre of spray equipment is provided with water inlet pipe, the external pipe of spray equipment connects refrigeration plant, packing layer has gathering ground, the bottom of gathering ground connects the input of refrigeration plant by pipeline, the pipeline at output of refrigeration plant connects spray equipment, the pipeline connected for pipeline comprises pipeline body, this pipeline also comprises ventilation duct and heat dissipating layer, heat dissipating layer is positioned at outside pipeline body, pipeline also comprises lapping layer, pipeline body is simultaneously multiple to be wrapped in lapping layer.This cooling tower improves on the pipeline connected, and in heat radiation when making the recirculated water in cooling tower run in the duct, adds the heat radiation time of recirculated water, solves in cooling tower the problem that have ignored and lower the temperature in cooling water in-service pipeline.",easy_negative,out_of_domain
29,0.1,6401155,6401155,hydrogen-storage-technology-ablnocorp,RADAR ABSORBER,"The radar absorber comprises alternate layers of highly conductive film (F) of combined fibre material without filling and layers of lower conductivity (intermediate layers 2) comprising either a core material, or part core material part fibre. The core material may be a plastic honeycomb or matrix or synthetic foam with a filler of balls or short fibres of glass, ceramic, carbon or plastic which may be filled or hollow. The dielectric properties may also be varied by conductive layering of the filling material of the honeycomb.",easy_negative,out_of_domain
30,0.1,25682647,25682647,hydrogen-storage-technology-ablnocorp,A process for generating electricity with a hydrogen fuel cell,"The object of the invention is the coupling of a hydrogen fuel cell to an enzymatic process for the production of electricity and the transformation and sequestration of CO2. Gaseous CO2 emissions from processes such as hydrocarbon reforming are transformed into carbonate or bicarbonate ions and hydrogen ions by the enzymatic system in order to prevent their contribution to the greenhouse effect.      The hydrogen ions resulting from the enzymatic process are recovered and combined in order to supply the hydrogen fuel cell. Finally, water, a by-product of the oxidizing reaction of the hydrogen fuel cell, is recovered and recycled back into the aqueous enzymatic system.",easy_negative,out_of_domain
31,0.1,18438052,18438052,hydrogen-storage-technology-ablnocorp,Gasification of plastics,"PROBLEM TO BE SOLVED: To efficiently decompose plastics into hydrogen gas. SOLUTION: This is a gasification process by allowing plastics to react with water at a temperature over 200 deg.C. A compound that liberates a halogen on the reaction is used as a reaction catalyst. As a halogen compound to be used as the catalyst in this process, a chlorine-containing plastic, hydrochloric acid, hydrogen bromide, sodium fluoride, sodium chloride and other halides, are cited.",easy_negative,out_of_domain
32,0.1,6403781,6403781,hydrogen-storage-technology-ablnocorp,Process for preparing aromatic polyamides of high hydrolysis resistance with controlled water content of diamine,"There is described a process for preparing aromatic polyamides of high hydrolysis resistance by reacting aromatic diamines in a conventional organic solvent and in the presence or absence of inorganic salts wherein the diamine, which has a water content of up to 25% by weight, is dissolved in the organic solvent, which may likewise contain water, and the solution is subjected to a vacuum distillation until the water content of the bottom product is &lt;100 ppm and subsequently the inorganic salts if necessary and then the dicarbonyl dichloride are added in a conventional manner and the condensation reaction is performed and concluded in a conventional manner.",easy_negative,out_of_domain
33,0.1,24216721,24216721,hydrogen-storage-technology-ablnocorp,Brake disk,"A disk brake assembly having a friction disk mounted on the hub of a motorcycle wheel, the friction disk having an inner hub and an outer ring interengaged by a plurality of equally spaced offset arms connecting the outer ring to the inner hub. The angle of each arm being such that the heat generated in the outer ring causes the outer end of the arms to expand in relation to the expansion of the outer ring and to contract on cooling to return the outer ring to its original position.",easy_negative,out_of_domain
34,0.1,40467969,40467969,hydrogen-storage-technology-ablnocorp,Low alloy steel for high-pressure hydrogen gas environment and container for high-pressure hydrogen,"Provided is a low alloy steel for high-pressure hydrogen gas environments, which contains, by mass percent, C: 0.15 to 0.60%, Si: 0.05 to 0.5%, Mn: 0.05 to 3.0%, P: not more than 0.025%, S: not more than 0.010%, Al:  0.005 to 0.10%, Mo: 0.5 to 3.0%, V. 0.05 to 0.30%, O(oxygen): not more than 0.01%, N: not more than 0.03%, and the balance Fe and impurities, and has tensile strength of not less than 900 MPa. This low alloy steel desirably contains B of 0.0003 to 0.003%, but in this case, N is limited to not more than 0.010%. It is desirable to contain at least one among Cr, Nb, Ti, Zr, and Ca.  The contents of Mo and V desirably satisfy the following formula (1):  [Mo(%)].cndot.[V(%)]0.2&gt;=0.32 (1).",easy_negative,out_of_domain
35,0.1,47509703,47509703,hydrogen-storage-technology-ablnocorp,Device and method for controlling screening size of exhaust sintering gas activated carbon,And a screen device arranged between the regeneration tower and the adsorption tower of the sintered exhaust gas cleaning facility to sort the regenerated activated carbon according to the size so as to control the particle size of the activated carbon that is screened through the screen device and carried to the adsorption tower. Provided is an activated carbon sorting size control apparatus and a control method of the sintered exhaust gas cleaning equipment including a control unit for adjusting the size of activated carbon sorting.,easy_negative,out_of_domain
