family_id,expansion_level,title,abstract,text,label
68146502,ANTISEED-manual,Audio representation learning method based on multilayer timing pond,"The present invention provides the audio representation learning method based on multilayer timing pond, belongs to audio classification techniques field.The present invention extracts training set and the spectrum signature wait indicate each audio sample in audio first, and it is cut into the segment of equal length, using the segment rank time-frequency characteristics set training CNN network of training set, the segment rank character representation of audio to be indicated then is extracted with trained CNN network；Again using the segment rank character representation of the audio to be indicated of extraction as the input of multilayer timing pond network, each timing pond layer of multilayer timing pond network successively carries out nonlinear characteristic mapping to input data and sequential coding operates, the expression vector of final output audio to be indicated.The present invention solves the problems, such as the existing character representation technology for lacking and capableing of time-series dynamics information that is flexible, efficiently capturing any duration audio sample.The present invention can be used for robust and advanced audio representation.","Audio representation learning method based on multilayer timing pond The present invention provides the audio representation learning method based on multilayer timing pond, belongs to audio classification techniques field.The present invention extracts training set and the spectrum signature wait indicate each audio sample in audio first, and it is cut into the segment of equal length, using the segment rank time-frequency characteristics set training CNN network of training set, the segment rank character representation of audio to be indicated then is extracted with trained CNN network；Again using the segment rank character representation of the audio to be indicated of extraction as the input of multilayer timing pond network, each timing pond layer of multilayer timing pond network successively carries out nonlinear characteristic mapping to input data and sequential coding operates, the expression vector of final output audio to be indicated.The present invention solves the problems, such as the existing character representation technology for lacking and capableing of time-series dynamics information that is flexible, efficiently capturing any duration audio sample.The present invention can be used for robust and advanced audio representation.",0
70849766,SEED,3d hair synthesis using volumetric variational autoencoders,"Devices and methods for single-view 3D hair modeling are disclosed. The method for single-view 3D hair modeling includes training, by a neural network processor, a volumetric autoencoder to encode a plurality of 3D hairstyles into latent features, and to generate an output based on the latent features. The method for single-view 3D hair modeling includes training, by the neural network processor, an embedding network to determine hair coefficients of a single hairstyle from an input image. The method for single-view 3D hair modeling includes receiving, by the neural network processor, the input image. The method for single-view 3D hair modeling includes synthesizing, by the neural network processor, hair strands to generate a single-view 3D model of the single hairstyle based on the volumetric autoencoder, the embedding network, and the input image.","3d hair synthesis using volumetric variational autoencoders Devices and methods for single-view 3D hair modeling are disclosed. The method for single-view 3D hair modeling includes training, by a neural network processor, a volumetric autoencoder to encode a plurality of 3D hairstyles into latent features, and to generate an output based on the latent features. The method for single-view 3D hair modeling includes training, by the neural network processor, an embedding network to determine hair coefficients of a single hairstyle from an input image. The method for single-view 3D hair modeling includes receiving, by the neural network processor, the input image. The method for single-view 3D hair modeling includes synthesizing, by the neural network processor, hair strands to generate a single-view 3D model of the single hairstyle based on the volumetric autoencoder, the embedding network, and the input image.",1
34840359,ANTISEED-AF,Methods for electrosurgical electrolysis,"Methods for electrosurgical electrolysis for treating tissue within a body, including methods that operate in an electrolyzable medium, including an aqueous electrolyzable medium, by means of electrolysis, and optionally by means of oxy-hydrogen combustion for use in treatment, including therapeutic methods of electrolysis to effect advantageous tissue changes.","Methods for electrosurgical electrolysis Methods for electrosurgical electrolysis for treating tissue within a body, including methods that operate in an electrolyzable medium, including an aqueous electrolyzable medium, by means of electrolysis, and optionally by means of oxy-hydrogen combustion for use in treatment, including therapeutic methods of electrolysis to effect advantageous tissue changes.",0
15340625,ANTISEED-manual,Compressing and volumetric reducing treatment of solid waste,"PURPOSE: To prevent the exposing of compressed bodies to the outside after an embedding disposition and to reduce cost by packing solid waste containing rubber, etc., which internally contain reaction after compression into containers and subjecting the waste to compressing and volumetric reducing in this state then to a heating treatment, thereby forming the stable compressed bodies.  
     CONSTITUTION: The fire retardant or other solid waste is packed into the containers 1 such as drum cans and are compressed by a compressing device 2 to form the compressed bodies 4 which are decreased in volume to a fraction. The compressed bodies 4 are then subjected to the heating treatment by a heater provided with a heating means 5 such as electric heater. The heating temp. is preferably set at the temp. above the softening temp. at which the rubber, etc., in the compressed bodies 4 soften to decrease the internally existing reaction and below the temp. at which the thermal decomposition of the rubber, etc., and the generation of harmful gases such as gaseous chlorine do not arise. Said temp. is preferably about 200W400°C with, for example, rubber. Plural pieces of the compressed bodies 4 from which the internal reaction is removed by the heating treatment in such a manner are packed into a storage container 6 such as drum can and thereafter, a fixing material 7 such as mortar is packed between the outside peripheral face of the compressed bodies 4 and the inside peripheral face of the container 6 by a packing machine 8 and the entire part is solidified. The waste body is thus formed. 
     COPYRIGHT: (C)1988,JPO&amp;Japio","Compressing and volumetric reducing treatment of solid waste PURPOSE: To prevent the exposing of compressed bodies to the outside after an embedding disposition and to reduce cost by packing solid waste containing rubber, etc., which internally contain reaction after compression into containers and subjecting the waste to compressing and volumetric reducing in this state then to a heating treatment, thereby forming the stable compressed bodies. CONSTITUTION: The fire retardant or other solid waste is packed into the containers 1 such as drum cans and are compressed by a compressing device 2 to form the compressed bodies 4 which are decreased in volume to a fraction. The compressed bodies 4 are then subjected to the heating treatment by a heater provided with a heating means 5 such as electric heater. The heating temp. is preferably set at the temp. above the softening temp. at which the rubber, etc., in the compressed bodies 4 soften to decrease the internally existing reaction and below the temp. at which the thermal decomposition of the rubber, etc., and the generation of harmful gases such as gaseous chlorine do not arise. Said temp. is preferably about 200W400°C with, for example, rubber. Plural pieces of the compressed bodies 4 from which the internal reaction is removed by the heating treatment in such a manner are packed into a storage container 6 such as drum can and thereafter, a fixing material 7 such as mortar is packed between the outside peripheral face of the compressed bodies 4 and the inside peripheral face of the container 6 by a packing machine 8 and the entire part is solidified. The waste body is thus formed. COPYRIGHT: (C)1988,JPO&amp;Japio",0
61260925,ANTISEED-manual,A kind of turn inside diameter householder method and device,"The embodiment of the present invention, which discloses a kind of turn inside diameter householder method and device, method, to be included：In response to auxiliary request, periphery barrier situation is obtained；Calculate and the current kinetic track of front hook is worked as based on steering wheel, when the distance of current kinetic track and any barrier in periphery reaches pre-determined distance threshold value, disabled orientation disk increases corner on current wheel steering direction.The embodiment of the present invention is by judging movement locus and periphery barrier situation, and before vehicle and barrier will scratch, i.e. the corner of locking direction disk so as to avoid the control of driver&#39;s steering wheel improper, causes vehicle to scratch.","A kind of turn inside diameter householder method and device The embodiment of the present invention, which discloses a kind of turn inside diameter householder method and device, method, to be included：In response to auxiliary request, periphery barrier situation is obtained；Calculate and the current kinetic track of front hook is worked as based on steering wheel, when the distance of current kinetic track and any barrier in periphery reaches pre-determined distance threshold value, disabled orientation disk increases corner on current wheel steering direction.The embodiment of the present invention is by judging movement locus and periphery barrier situation, and before vehicle and barrier will scratch, i.e. the corner of locking direction disk so as to avoid the control of driver&#39;s steering wheel improper, causes vehicle to scratch.",0
26998601,ANTISEED-AF,Impact blasting system for etching metal surfaces,"Apparatus for etching a metal surface utilizes a specially shrouded centrifugal throwing wheel to effect a uniform, non-pulsating application of very fine, lightweight, impact blasting media. The resulting etched finish is of a fine-grained quality suitable for use in lithography. A replaceable, wear-resistant liner is provided within the shroud.","Impact blasting system for etching metal surfaces Apparatus for etching a metal surface utilizes a specially shrouded centrifugal throwing wheel to effect a uniform, non-pulsating application of very fine, lightweight, impact blasting media. The resulting etched finish is of a fine-grained quality suitable for use in lithography. A replaceable, wear-resistant liner is provided within the shroud.",0
68077377,SEED,A kind of removing rain based on single image method based on the compression rewards and punishments neural network for reusing raw information,"The present invention relates to it is a kind of based on reuse raw information compression rewards and punishments neural network removing rain based on single image method, first with quick guiding filtering by rainy picture breakdown be low frequency figure layer and high frequency figure layer；Then high frequency figure layer is input to and carries out feature learning in the neural network that one combines the reuse raw information connection type that compression rewards and punishments neural network structure block, batch normalized and this method propose and extracts, remove rain line therein；It the high frequency figure layer after rain line will finally be removed is added with original low frequency figure layer to obtain and final go rain result.This method carries out rain for single width rain image, compared with existing traditional rain removing method, based on deep learning rain removing method, can obtain higher-quality no rain figure picture；And the network that this method proposes is based on compression rewards and punishments neural network, and compression rewards and punishments block structure used in the network that this method proposes can then portray the relationship between feature channel well, to improve the expressiveness of network, rain effect is gone in promotion.","A kind of removing rain based on single image method based on the compression rewards and punishments neural network for reusing raw information The present invention relates to it is a kind of based on reuse raw information compression rewards and punishments neural network removing rain based on single image method, first with quick guiding filtering by rainy picture breakdown be low frequency figure layer and high frequency figure layer；Then high frequency figure layer is input to and carries out feature learning in the neural network that one combines the reuse raw information connection type that compression rewards and punishments neural network structure block, batch normalized and this method propose and extracts, remove rain line therein；It the high frequency figure layer after rain line will finally be removed is added with original low frequency figure layer to obtain and final go rain result.This method carries out rain for single width rain image, compared with existing traditional rain removing method, based on deep learning rain removing method, can obtain higher-quality no rain figure picture；And the network that this method proposes is based on compression rewards and punishments neural network, and compression rewards and punishments block structure used in the network that this method proposes can then portray the relationship between feature channel well, to improve the expressiveness of network, rain effect is gone in promotion.",1
71681073,SEED,Online sparse prototype tracking method based on twin neural network linear representation model,"The invention discloses an online sparse prototype tracking method based on a twin neural network linear representation model, which comprises the steps of carrying out linear superposition on different pictures based on an image mixing method to obtain a complex background picture; modeling is carried out on an appearance model through online sparse prototype tracking, and a tracked target is sparsely and linearly represented by a prototype composed of orthogonal subspace basis vectors and trivial templates; and outputting an occlusion tracking result based on the observation model and the observation likelihood function. The method has the advantages that different pictures are linearly overlapped through a data augmentation method, a complex background picture with semantic information is generated by using a limited training set, the distinguishing capability of the siamrPN to different objects is enhanced, the problem of background clutter is solved, an online sparse prototype target representation model is combined with the improved siamrPN, the target shielding condition is considered, a robust tracker manufactured by using an observation likelihood function and an updating mechanism is used, the positioning accuracy of a tracked target is improved, and the overall tracking performance is improved.","Online sparse prototype tracking method based on twin neural network linear representation model The invention discloses an online sparse prototype tracking method based on a twin neural network linear representation model, which comprises the steps of carrying out linear superposition on different pictures based on an image mixing method to obtain a complex background picture; modeling is carried out on an appearance model through online sparse prototype tracking, and a tracked target is sparsely and linearly represented by a prototype composed of orthogonal subspace basis vectors and trivial templates; and outputting an occlusion tracking result based on the observation model and the observation likelihood function. The method has the advantages that different pictures are linearly overlapped through a data augmentation method, a complex background picture with semantic information is generated by using a limited training set, the distinguishing capability of the siamrPN to different objects is enhanced, the problem of background clutter is solved, an online sparse prototype target representation model is combined with the improved siamrPN, the target shielding condition is considered, a robust tracker manufactured by using an observation likelihood function and an updating mechanism is used, the positioning accuracy of a tracked target is improved, and the overall tracking performance is improved.",1
69804019,SEED,Apparatus and method for image registration based on deep learning,"The present invention relates to an image matching device and a method, and an image matching device according to an embodiment of the present invention includes a visible light image input unit for receiving a visible light (RGB) image; An infrared image input unit for receiving an infrared (IR) image; A feature extractor which extracts an object from a visible light image using a deep learning technique and extracts a background image from an infrared image; And a matching unit matching the extracted object with the background. According to the present invention, an object recognition and identification capability may be improved even in an image captured at night.","Apparatus and method for image registration based on deep learning The present invention relates to an image matching device and a method, and an image matching device according to an embodiment of the present invention includes a visible light image input unit for receiving a visible light (RGB) image; An infrared image input unit for receiving an infrared (IR) image; A feature extractor which extracts an object from a visible light image using a deep learning technique and extracts a background image from an infrared image; And a matching unit matching the extracted object with the background. According to the present invention, an object recognition and identification capability may be improved even in an image captured at night.",1
25079587,ANTISEED-AF,Cyclic diene adsorption with activated zinc oxide-silica-alumina adsorbents,,Cyclic diene adsorption with activated zinc oxide-silica-alumina adsorbents,0
49193581,ANTISEED-AF,Method for positioning temporary supporting point of large structure base layer deck piece,"The invention discloses a method for positioning a temporary supporting point of a large structure base layer deck piece. The method comprises the following steps of (1) confirming a severely-deformed rectangular region required to be supported temporarily in the deck piece; (2) optionally selecting one point in the confirmed rectangular region and using the point as the one-time temporary supporting point, using position coordinates of the one-time temporary supporting point as design variables, and then adopting a zero-order optimization method to calculate position coordinates of an optimal supporting point in the rectangular region through iteration optimizing; (3) selecting a main beam cross point closest to the position coordinates of the optimal supporting point in the rectangular region and using the cross point as the final temporary supporting point. The method has the advantages that the settling volume of a structure can be remarkably decreased, improvement of the stability of a steel structure is facilitated, the design time is shortened, and the design is scientific and reasonable.","Method for positioning temporary supporting point of large structure base layer deck piece The invention discloses a method for positioning a temporary supporting point of a large structure base layer deck piece. The method comprises the following steps of (1) confirming a severely-deformed rectangular region required to be supported temporarily in the deck piece; (2) optionally selecting one point in the confirmed rectangular region and using the point as the one-time temporary supporting point, using position coordinates of the one-time temporary supporting point as design variables, and then adopting a zero-order optimization method to calculate position coordinates of an optimal supporting point in the rectangular region through iteration optimizing; (3) selecting a main beam cross point closest to the position coordinates of the optimal supporting point in the rectangular region and using the cross point as the final temporary supporting point. The method has the advantages that the settling volume of a structure can be remarkably decreased, improvement of the stability of a steel structure is facilitated, the design time is shortened, and the design is scientific and reasonable.",0
68839333,ANTISEED-manual,Optimizing Benefits Selection in View of both Member Population and Organizational Preferences,"The present disclosure relates to systems and methods for optimizing benefits plan options offered by an organization through balancing derived population preferences with organizational preferences by analyzing historical selections made by individuals. Census data dividing members of an organization into census divisions may be applied to machine learning algorithm(s) to derive estimated selection preferences of the members. Using selection preferences, costs of various product offering scenarios and overall member satisfaction estimates of the scenarios may be calculated. Product offering scenarios meeting member preference criteria and organizational budget criteria may be presented for review.","Optimizing Benefits Selection in View of both Member Population and Organizational Preferences The present disclosure relates to systems and methods for optimizing benefits plan options offered by an organization through balancing derived population preferences with organizational preferences by analyzing historical selections made by individuals. Census data dividing members of an organization into census divisions may be applied to machine learning algorithm(s) to derive estimated selection preferences of the members. Using selection preferences, costs of various product offering scenarios and overall member satisfaction estimates of the scenarios may be calculated. Product offering scenarios meeting member preference criteria and organizational budget criteria may be presented for review.",0
36227940,ANTISEED-AF,Toners for electrostatic-image development,"Toners for electrostatic-image development which are toners produced through emulsion polymerization and aggregation and which have excellent fixability even at a higher temperature while retaining intact other various properties and emit no odor offensive to people; and a process for producing the toners. One of the toners produced through emulsion polymerization and aggregation is characterized by having an odor index in terms of the odor of aliphatic aldehydes as determined by gas chromatography of 300 or lower. The other toner produced through emulsion polymerization and aggregation is a toner obtained via a polymerization step, aggregation step, and aging step and is characterized in that the latex which has been obtained by emulsion polymerization before the aggregation step is a latex having a peoxide value of 30 or smaller.","Toners for electrostatic-image development Toners for electrostatic-image development which are toners produced through emulsion polymerization and aggregation and which have excellent fixability even at a higher temperature while retaining intact other various properties and emit no odor offensive to people; and a process for producing the toners. One of the toners produced through emulsion polymerization and aggregation is characterized by having an odor index in terms of the odor of aliphatic aldehydes as determined by gas chromatography of 300 or lower. The other toner produced through emulsion polymerization and aggregation is a toner obtained via a polymerization step, aggregation step, and aging step and is characterized in that the latex which has been obtained by emulsion polymerization before the aggregation step is a latex having a peoxide value of 30 or smaller.",0
